word,slot_occurrences,puzzle_count
aback,2,2
abate,6,6
abbey,2,2
abide,8,8
abode,4,4
about,11,11
above,12,12
abyss,10,10
acorn,6,6
acted,7,7
actor,6,6
acute,4,4
adapt,5,5
added,6,6
adept,8,8
admin,7,7
admit,12,12
adobe,6,6
adopt,12,12
adore,5,5
adorn,5,5
adult,10,10
afoot,4,4
afoul,6,6
after,12,12
again,12,12
agate,3,3
agent,7,7
agile,4,4
aging,5,5
agony,4,4
agree,10,10
ahead,12,12
aimed,6,6
aisle,4,4
alarm,12,12
album,12,12
alert,6,6
algae,5,5
alibi,10,10
alien,12,12
align,12,12
alike,8,8
alive,9,9
alley,11,11
allot,6,6
allow,12,12
alloy,7,7
aloft,7,7
alone,9,9
along,12,12
aloof,6,6
aloud,6,6
alpha,8,8
alter,12,12
amass,5,5
amaze,11,11
amber,5,5
amend,7,7
amiss,6,6
among,12,12
ample,6,6
amuse,4,4
angel,12,12
anger,11,11
angle,12,12
angry,6,6
angst,7,7
anime,4,4
ankle,6,6
annex,7,7
annoy,11,11
anvil,9,9
aorta,4,4
apart,12,12
apnea,9,9
apple,9,9
apply,4,4
apron,8,8
aptly,5,5
arbor,7,7
arena,12,12
argue,10,10
arise,8,8
armor,12,12
aroma,8,8
arose,9,9
array,9,9
arrow,12,12
arson,6,6
artsy,10,10
ascot,8,8
aside,10,10
askew,5,5
asset,11,11
atlas,9,9
atoll,5,5
atone,5,5
attic,12,12
audio,12,12
audit,12,12
aunty,5,5
avert,7,7
avian,9,9
avoid,12,12
await,8,8
awake,10,10
award,12,12
aware,10,10
awash,5,5
awful,12,12
awoke,4,4
axial,4,4
axiom,6,6
bacon,8,8
badge,6,6
badly,2,2
bagel,5,5
baggy,1,1
baker,2,2
balmy,1,1
banjo,2,2
barge,1,1
baron,1,1
basal,8,8
basic,10,10
basil,7,7
basin,12,12
basis,10,10
batch,10,10
bathe,1,1
baton,4,4
batty,1,1
bayou,4,4
beach,5,5
beard,5,5
beast,4,4
beefy,3,3
began,1,1
begin,7,7
begun,5,5
being,7,7
belly,2,2
below,12,12
bench,3,3
beret,1,1
berth,2,2
bezel,3,3
bicep,6,6
binge,2,2
bingo,4,4
biome,1,1
birch,3,3
birth,3,3
bison,4,4
black,5,5
blame,5,5
bland,6,6
blank,5,5
blast,6,6
blaze,3,3
bleak,2,2
bleed,4,4
bleep,6,6
blend,3,3
bless,11,11
blimp,3,3
blind,3,3
blink,2,2
bliss,12,12
blitz,2,2
block,2,2
bloke,2,2
bloom,10,10
blown,3,3
bluff,4,4
blunt,2,2
blurb,7,7
blush,2,2
board,6,6
boast,3,3
bongo,4,4
bonus,12,12
boost,5,5
booth,3,3
bossy,1,1
bough,1,1
bound,5,5
brace,2,2
braid,4,4
brain,4,4
brand,5,5
brash,1,1
brass,6,6
brave,2,2
bravo,5,5
brawl,2,2
brawn,1,1
bread,7,7
break,2,2
breed,2,2
bribe,1,1
brick,1,1
bride,4,4
brief,7,7
brine,1,1
bring,6,6
brisk,1,1
broad,3,3
broil,3,3
broke,3,3
brook,2,2
broom,1,1
broth,1,1
brown,3,3
brunt,1,1
brush,2,2
buddy,3,3
bugle,2,2
build,5,5
built,3,3
bulge,2,2
bunch,3,3
bunny,1,1
burly,1,1
burnt,2,2
burst,4,4
bushy,1,1
buyer,7,7
cabin,8,8
cable,7,7
cacao,3,3
cache,3,3
cacti,7,7
caddy,1,1
cadet,10,10
camel,9,9
cameo,5,5
canal,4,4
candy,6,6
canny,1,1
canoe,2,2
canon,4,4
caper,1,1
carat,7,7
cargo,8,8
carol,2,2
carry,3,3
carve,3,3
caste,6,6
catch,12,12
cater,3,3
caulk,1,1
cause,3,3
cease,5,5
cedar,5,5
cello,5,5
chain,4,4
chair,10,10
chalk,1,1
champ,12,12
chant,6,6
chaos,12,12
charm,11,11
chart,3,3
chase,4,4
chasm,7,7
cheap,9,9
cheat,11,11
check,5,5
cheek,4,4
cheer,11,11
chess,5,5
chest,10,10
chick,1,1
chief,6,6
child,4,4
chili,10,10
chill,5,5
chime,1,1
chips,2,2
chirp,3,3
chock,1,1
chord,2,2
chore,2,2
