Word,AoA (years)
about,4.0
above,4.7
abuse,8.5
acted,5.8
added,5.2
admit,6.5
adopt,7.8
adult,6.2
after,3.8
again,3.5
agree,5.0
ahead,5.2
aimed,7.0
alarm,5.8
album,7.5
alien,6.8
align,9.5
alike,5.5
alive,4.5
alley,6.0
allow,5.8
alone,4.5
along,4.8
aloof,10.2
altar,8.5
alter,8.0
amaze,5.5
among,6.5
angel,4.8
anger,5.5
angle,6.5
angry,4.0
ankle,4.5
annex,10.5
annoy,5.5
apart,5.5
apple,2.8
apply,7.5
arena,8.5
argue,5.5
armor,6.0
arose,8.5
array,9.5
arrow,4.5
aside,6.5
asset,10.5
atlas,7.5
attic,5.5
audio,8.0
avoid,6.5
awake,4.5
award,7.0
aware,7.0
awful,5.0
bacon,5.0
badge,6.0
badly,4.5
basic,6.5
basin,7.5
basis,9.5
batch,8.5
beach,4.5
beast,5.5
begin,4.5
being,5.5
below,4.5
bench,5.5
berry,4.5
birth,5.0
black,3.0
blade,6.5
blame,5.5
bland,8.5
blank,5.5
blast,6.0
blaze,6.5
bleak,9.5
bleed,4.5
blend,7.5
bless,5.5
blind,4.5
blink,5.0
bliss,8.5
block,4.5
blond,6.0
blood,4.5
bloom,6.0
blown,5.5
board,5.0
boast,7.5
bonus,8.5
boost,8.5
booth,7.5
bound,7.0
brain,5.0
brand,7.5
brave,4.5
bread,3.5
break,3.5
breed,6.5
brick,4.5
bride,5.5
brief,8.0
bring,3.5
broad,7.0
broke,4.5
brook,6.5
brown,3.0
brush,4.0
buddy,4.5
build,4.0
bunch,5.0
burst,5.5
buyer,7.5
cabin,5.5
cable,6.5
candy,3.5
carry,3.5
catch,3.5
cause,6.0
cease,8.5
chain,5.0
chair,3.0
chalk,4.5
champ,6.0
chaos,9.0
charm,6.5
chart,7.0
chase,4.5
cheap,5.5
cheat,5.5
check,5.0
cheek,4.0
cheer,4.5
chest,4.5
chief,7.0
child,3.0
chill,5.5
china,5.5
chips,4.0
choir,7.0
chord,8.5
chose,4.5
chunk,7.0
claim,8.0
clash,8.0
class,4.5
clean,3.5
clear,4.5
clerk,7.5
click,6.5
cliff,5.5
climb,4.0
cling,6.5
clock,3.5
clone,8.5
close,3.5
cloth,5.0
cloud,3.5
clown,3.5
coach,5.5
coast,5.5
color,3.0
comic,5.5
coral,7.0
couch,4.5
could,3.5
count,4.0
court,6.0
cover,4.5
crack,5.0
craft,6.0
crane,6.0
crash,5.0
crawl,4.0
crazy,4.5
cream,3.5
crime,6.5
crisp,7.0
cross,4.0
crowd,5.0
crown,4.5
cruel,6.0
crush,6.0
curve,7.0
cycle,6.0
daily,5.5
dance,3.5
death,5.0
debug,11.0
decay,8.5
delay,7.5
demon,7.0
dense,8.5
depth,7.5
derby,8.0
diary,6.5
dirty,3.5
dizzy,4.5
dodge,6.0
doubt,6.5
dough,6.0
draft,8.5
drain,6.0
drama,7.5
drank,4.0
drawn,5.5
dread,7.5
dream,3.5
dress,3.5
dried,4.5
drift,7.5
drill,6.0
drink,3.0
drive,4.5
drops,3.5
drunk,6.0
dryer,6.0
dusty,5.0
dwarf,6.0
dwell,8.5
dying,5.0
eager,7.0
eagle,4.5
early,4.0
earth,4.0
eight,3.5
elbow,4.5
elder,7.0
elect,8.0
elite,10.0
email,9.0
empty,4.0
enemy,5.5
enjoy,4.5
enter,4.5
entry,7.5
equal,5.5
equip,8.5
erase,5.5
error,6.5
essay,8.0
evade,9.5
event,7.0
every,3.5
exact,6.5
exile,9.5
exist,7.0
extra,5.5
fable,7.0
faith,6.5
fancy,5.5
fault,6.0
feast,6.5
fence,4.5
ferry,6.0
fetch,5.5
fever,5.0
fiber,8.0
field,5.0
fifth,4.5
fifty,4.5
fight,4.0
final,6.0
first,3.0
fixed,5.5
flame,5.0
flash,5.5
fleet,7.0
flesh,7.0
flick,7.0
float,4.5
flock,6.0
flood,5.5
floor,3.0
flour,5.0
flown,5.5
fluid,8.5
flute,5.5
focus,8.0
foggy,5.5
force,6.0
forge,8.5
forth,7.0
forty,4.5
forum,10.5
found,4.0
frame,6.0
frank,6.0
fraud,10.0
freak,7.0
fresh,4.5
front,4.0
froze,4.5
fruit,3.0
fully,6.5
funny,3.5
fuzzy,4.5
ghost,4.5
giant,4.5
given,5.0
gland,9.5
glass,3.5
gleam,7.5
globe,6.0
gloom,7.5
glory,7.0
gloss,8.0
glove,3.5
going,3.0
grace,6.5
grade,5.0
grain,6.0
grand,5.5
grant,8.5
graph,7.5
grasp,7.5
grass,3.5
grave,6.0
graze,7.0
great,3.5
greed,7.0
green,2.8
greet,5.0
grief,8.0
grill,6.0
grind,7.0
groan,7.0
groom,7.5
gross,7.5
group,5.5
grove,8.0
growl,5.5
grown,4.5
guard,5.5
guess,4.0
guest,5.5
guide,6.5
guilt,7.0
guise,11.0
habit,7.0
happy,2.8
harsh,7.5
haste,8.0
haunt,7.0
heart,3.5
heavy,3.5
hedge,7.0
hello,2.5
herbs,6.5
hinge,8.0
honey,3.5
honor,6.5
horse,3.0
hotel,6.0
house,2.5
human,5.0
humor,6.5
hurry,4.0
hyper,7.5
ideal,8.5
image,6.5
imply,9.5
inbox,11.0
index,9.0
indie,12.0
inner,7.0
input,8.5
ivory,8.0
jewel,5.5
joint,7.5
joker,5.5
judge,5.5
juice,3.5
kebab,8.0
kings,4.0
knack,9.0
kneel,5.5
knife,4.0
knock,3.5
known,5.0
label,7.0
labor,7.5
large,4.0
laser,7.5
later,4.0
laugh,3.0
layer,7.0
learn,3.5
lease,10.5
least,5.5
leave,3.5
legal,8.5
lemon,4.5
level,6.0
lever,7.5
light,3.0
limit,6.5
linen,8.0
liver,7.0
local,7.0
logic,8.5
loose,5.5
lover,7.5
lower,5.0
loyal,7.5
lucky,4.0
lunar,8.0
lunch,3.5
lying,5.0
magic,4.0
major,7.5
maker,5.5
manor,9.0
maple,6.0
march,5.0
match,4.5
mayor,7.5
meant,5.0
medal,6.0
media,8.5
mercy,7.0
merge,10.0
metal,5.5
meter,6.0
might,4.5
minor,8.0
minus,6.5
model,6.5
money,3.5
month,4.0
moose,5.0
moral,8.0
motor,5.5
motto,8.5
mound,7.0
mount,6.5
mouse,3.0
mouth,3.0
movie,4.0
muddy,4.5
music,3.5
naval,9.0
nerve,6.5
never,3.0
newer,5.0
night,3.0
noble,7.0
noise,3.5
north,4.5
noted,7.0
novel,7.5
nurse,4.0
nylon,8.0
occur,8.5
ocean,4.0
offer,6.0
often,5.0
olive,6.0
onset,11.0
opera,8.0
orbit,7.5
order,5.5
organ,7.0
other,3.5
ought,6.0
outer,5.5
owner,6.0
oxide,11.0
ozone,8.5
paint,3.5
panic,7.0
paper,3.5
party,4.5
pasta,5.5
patch,5.5
pause,6.5
peace,4.5
peach,4.0
pearl,5.5
pedal,5.5
penny,4.0
phone,4.5
photo,5.0
piano,5.0
piece,4.0
pilot,5.5
pinch,5.0
pitch,6.5
pixel,10.0
pizza,4.0
place,3.5
plain,6.0
plane,4.0
plant,4.0
plate,3.5
plaza,8.5
plead,8.0
plumb,9.0
plump,6.5
point,4.5
polar,7.0
pound,5.0
power,5.0
press,5.5
price,5.5
pride,6.0
prime,8.0
print,5.0
prior,9.5
prize,5.0
probe,9.5
proof,7.5
proud,4.5
prove,6.5
proxy,12.0
psalm,9.0
pulse,7.5
punch,5.0
pupil,6.0
purse,4.5
queen,3.5
quest,8.0
queue,8.5
quick,3.5
quiet,3.5
quote,8.0
radar,8.0
radio,5.0
raise,5.5
ranch,6.0
range,7.0
rapid,7.5
ratio,10.0
reach,5.0
react,7.5
ready,3.5
realm,9.5
rebel,7.5
refer,8.0
reign,8.5
relax,6.0
relay,8.0
renew,9.0
repay,8.0
reply,6.0
rider,5.0
ridge,7.5
rifle,7.0
right,3.5
rigid,9.0
risky,7.5
rival,8.5
river,4.0
robot,5.5
rocky,5.5
rouge,9.0
rough,5.5
round,3.5
route,7.5
royal,5.5
rugby,8.0
ruler,4.5
rumor,7.5
rural,8.5
sadly,5.0
salad,4.5
salty,4.5
sauce,5.5
scale,6.5
scare,4.5
scene,6.5
scent,7.0
scope,10.0
score,5.5
scout,5.5
scrap,6.5
sense,6.0
serve,5.5
seven,3.0
shade,5.0
shall,5.5
shame,6.0
shape,4.5
share,4.5
shark,4.5
sharp,4.5
shave,5.5
sheep,3.5
sheer,9.0
sheet,4.5
shelf,5.0
shell,4.5
shift,8.0
shine,4.0
shirt,3.5
shock,6.0
shore,5.5
short,3.5
shout,3.5
shown,5.0
sight,5.5
silly,3.5
since,5.5
sixth,4.5
sixty,5.0
sized,6.0
skill,6.0
skull,6.0
slate,8.0
slave,6.5
sleep,3.0
slice,5.0
slide,4.5
slope,6.5
smart,4.5
smell,3.5
smile,3.0
smoke,4.5
snack,4.0
snake,3.5
snowy,4.0
solar,7.0
solid,6.5
solve,6.0
sorry,3.5
sound,3.5
south,4.5
space,4.5
spare,6.5
spark,5.5
speak,3.0
speed,4.5
spell,4.5
spend,4.5
spice,5.5
spill,4.0
spine,6.5
split,5.5
spoke,5.0
spoon,3.0
sport,4.5
spray,5.5
squad,7.5
stack,6.0
staff,7.5
stage,6.5
stain,5.5
stair,4.0
stake,7.5
stale,7.0
stall,6.5
stamp,5.0
stand,3.5
stare,4.5
start,3.5
state,6.0
stays,4.5
steak,5.5
steal,4.5
steam,5.0
steel,6.0
steep,6.5
steer,7.0
stern,8.0
stick,3.5
stiff,6.0
still,4.0
sting,5.0
stink,4.5
stock,7.5
stone,4.0
stood,4.0
stool,5.0
store,4.0
storm,4.5
story,3.5
stove,4.5
strip,6.5
stuck,4.0
study,5.5
stuff,4.0
stump,5.5
style,6.5
sugar,3.5
sunny,3.5
super,4.0
surge,9.5
swamp,6.0
swear,6.0
sweat,5.0
sweep,5.0
sweet,3.0
swift,7.0
swing,3.5
sword,5.0
swore,6.5
swung,5.5
table,3.0
taste,4.0
teach,3.5
teeth,3.0
tempo,9.0
theft,8.0
theme,8.0
there,3.0
thick,4.5
thief,5.0
thing,3.0
think,3.0
third,4.0
thorn,6.0
those,3.5
three,2.5
threw,4.0
throw,3.5
thumb,3.5
tiger,3.5
tight,4.5
timer,5.5
tired,3.5
title,6.0
today,3.5
token,8.5
topic,7.5
